bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
14,0.05,-0.003333333333333334,0.0,-0.001666666666666667,0.0033333333333333335,left,53,0.02197346600331675,6.592039800995024,-1,14,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
15,0.05,0.0,0.003333333333333334,0.001666666666666667,0.0033333333333333335,right,53,0.02197346600331675,6.592039800995024,1,0,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
16,0.05,0.003333333333333334,0.006666666666666668,0.005000000000000001,0.0033333333333333335,right,67,0.027777777777777776,8.333333333333332,2,1,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
17,0.05,0.006666666666666668,0.010000000000000002,0.008333333333333335,0.0033333333333333335,right,57,0.0236318407960199,7.089552238805969,3,2,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
18,0.05,0.010000000000000002,0.013333333333333336,0.011666666666666669,0.0033333333333333335,right,49,0.0203150912106136,6.094527363184079,4,3,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
19,0.05,0.013333333333333336,0.016666666666666663,0.015,0.0033333333333333335,right,56,0.02321724709784411,6.965174129353233,5,4,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
20,0.05,0.016666666666666663,0.020000000000000004,0.018333333333333333,0.0033333333333333335,right,66,0.02736318407960199,8.208955223880595,6,5,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
21,0.05,0.020000000000000004,0.02333333333333333,0.021666666666666667,0.0033333333333333335,right,59,0.024461028192371476,7.338308457711442,7,6,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
22,0.05,0.02333333333333333,0.026666666666666672,0.025,0.0033333333333333335,right,51,0.021144278606965175,6.343283582089551,8,7,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
23,0.05,0.026666666666666672,0.03,0.028333333333333335,0.0033333333333333335,right,69,0.028606965174129355,8.582089552238806,9,8,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
24,0.05,0.03,0.03333333333333334,0.03166666666666667,0.0033333333333333335,right,54,0.022388059701492536,6.716417910447761,10,9,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
25,0.05,0.03333333333333334,0.03666666666666667,0.035,0.0033333333333333335,right,59,0.024461028192371476,7.338308457711442,11,10,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
